sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:variable_name,ADD_INFO:variable_description,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
90,Body mass index,2771,,adult_bmi,BMI (kg/m2),1.00,APPROVED,EQUAL,Reinp,1788969040200,4245997,Body mass index,Measurement,MAPS_TO,,<auto>,1788968833691,
40,Occasionally or a moderate amount of time (3-4 days),191,,a_emobth,k1 - Respondent was unusually bothered in past week?,0.68,APPROVED,EQUAL,Reinp,1788971858991,45879593,Occasionally,Meas Value,MAPS_TO,,Reinp,1788971751382,
91,kg/m2,2771,,adult_bmi,BMI (kg/m2),0.40,APPROVED,EQUAL,Reinp,1789028945539,9531,kilogram per square meter,Unit,MAPS_TO,,Reinp,1789028940542,
11,65 years and above,339,,age_group,Age Grouped,0.70,APPROVED,EQUAL,Reinp,1789028677897,45881961,65 years old or older,Meas Value,MAPS_TO,,Reinp,1789028671782,
32,Christian,2417,,a_rel,Religious affiliation,1.00,APPROVED,EQUAL,Reinp,1789034497075,4052936,"Christian, follower of religion",Observation,MAPS_TO,,<auto>,1788968836947,
92,Normal (18.5–24.9),929,,adult_bmi_group,BMI (kg/m2) grouped,0.20,APPROVED,EQUAL,Reinp,1789030845227,45884153,Normal,Meas Value,MAPS_TO,,Reinp,1789030689071,
33,Hindu,17,,a_rel,Religious affiliation,1.00,APPROVED,EQUAL,Reinp,1789034501157,4052018,"Hindu, follower of religion",Observation,MAPS_TO,,<auto>,1788968838465,
34,Jewish,6,,a_rel,Religious affiliation,1.00,APPROVED,EQUAL,Reinp,1789034555496,4051379,"Jewish, follower of religion",Observation,MAPS_TO,,Reinp,1789034551866,
48,felt depressed in past week,2902,,a_emodep,k3 - Respondent felt depressed in past week?,0.63,APPROVED,EQUAL,Reinp,1788972714031,1761895,Feeling depressed,Observation,MAPS_TO,,Reinp,1788972708340,
93,Obese (>=30),1028,,adult_bmi_group,BMI (kg/m2) grouped,0.35,APPROVED,EQUAL,Reinp,1789030902499,4215968,Obese,Condition,MAPS_TO,,Reinp,1789030895886,
82,Some or little of the time (1-2 days),769,,a_emolone,k9 - Respondent felt lonely in past week?,0.64,APPROVED,EQUAL,Reinp,1788972452614,45879198,Some of the time,Meas Value,MAPS_TO,,Reinp,1788972433166,
35,Muslim,8,,a_rel,Religious affiliation,1.00,APPROVED,EQUAL,Reinp,1789034606125,4147079,"Muslim, follower of religion",Observation,MAPS_TO,,Reinp,1789034599558,
