2025-11-09 18:36:13	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: isStandardValidConcept] [CDM Table: COHORT_DEFINITION] [CDM Field: SUBJECT_CONCEPT_ID] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "nih_tb_results.cohort_definition" does not exist   Position: 409 An error report has been created at  dqd_output/errors/FIELD_isStandardValidConcept_COHORT_DEFINITION_SUBJECT_CONCEPT_ID.txt
2025-11-09 18:36:16	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: measureValueCompleteness
2025-11-09 18:36:34	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: standardConceptRecordCompleteness
2025-11-09 18:36:36	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: sourceConceptRecordCompleteness
2025-11-09 18:36:37	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: sourceValueCompleteness
2025-11-09 18:36:39	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleValueLow
2025-11-09 18:36:39	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: plausibleValueLow] [CDM Table: COHORT] [CDM Field: COHORT_END_DATE] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "nih_tb_results.cohort" does not exist   Position: 453 An error report has been created at  dqd_output/errors/FIELD_plausibleValueLow_COHORT_COHORT_END_DATE.txt
2025-11-09 18:36:39	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: plausibleValueLow] [CDM Table: COHORT] [CDM Field: COHORT_START_DATE] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "nih_tb_results.cohort" does not exist   Position: 455 An error report has been created at  dqd_output/errors/FIELD_plausibleValueLow_COHORT_COHORT_START_DATE.txt
2025-11-09 18:36:42	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleValueHigh
2025-11-09 18:36:42	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: plausibleValueHigh] [CDM Table: COHORT] [CDM Field: COHORT_END_DATE] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "nih_tb_results.cohort" does not exist   Position: 408 An error report has been created at  dqd_output/errors/FIELD_plausibleValueHigh_COHORT_COHORT_END_DATE.txt
2025-11-09 18:36:42	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: plausibleValueHigh] [CDM Table: COHORT] [CDM Field: COHORT_START_DATE] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "nih_tb_results.cohort" does not exist   Position: 410 An error report has been created at  dqd_output/errors/FIELD_plausibleValueHigh_COHORT_COHORT_START_DATE.txt
2025-11-09 18:36:45	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleTemporalAfter
2025-11-09 18:36:48	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleDuringLife
2025-11-09 18:36:49	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: withinVisitDates
2025-11-09 18:36:50	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleAfterBirth
2025-11-09 18:36:53	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleBeforeDeath
2025-11-09 18:36:55	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleStartBeforeEnd
2025-11-09 18:36:56	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleGender
2025-11-09 18:37:09	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleGenderUseDescendants
2025-11-09 18:38:02	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleUnitConceptIds
2025-11-09 18:38:17	[Main thread]	INFO	DataQualityDashboard	.writeResultsToJson	Writing results to file: dqd_output/dqd_results.json
2025-11-09 18:38:18	[Main thread]	INFO	DataQualityDashboard	executeDqChecks	Execution Complete
2025-11-09 18:38:18	[Main thread]	INFO	DatabaseConnector	connectPostgreSql	Connecting using PostgreSQL driver
2025-11-09 18:38:18	[Main thread]	INFO	DataQualityDashboard	.writeResultsToTable	Writing results to table nih_tb_results.dqd_results
2025-11-09 18:38:18	[Main thread]	INFO	DatabaseConnector	executeSql	Executing SQL took 0.0544 secs
2025-11-09 18:38:18	[Main thread]	INFO	DatabaseConnector	insertTable.DatabaseConnectorJdbcConnection	Inserting data took 0.418 secs
2025-11-09 18:38:18	[Main thread]	INFO	DataQualityDashboard	.writeResultsToTable	Finished writing table
